#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
79;01:47:44.6;+59:22:03.2;0.196321;2.57e-16;B0144+59;J0147+5922;*;*;*;
80;01:51:22.7;-06:35:02.8;1.464665;4.43e-16;B0148-06;J0151-0635;*;*;*;
81;01:52:23.7;+09:48:10;2.746647;1.70e-15;J0152+0948;J0152+0948;*;*;*;
82;01:52:10.8;-16:37:52.9;0.832742;1.30e-15;B0149-16;J0152-1637;*;*;*;
83;01:56:01;+04:02;*;*;J0156+04;J0156+04;RRAT[dsm+16];*;*;
84;01:56:55.2;+39:49:29;1.811561;1.52e-16;B0153+39;J0156+3949;*;*;*;
85;01:57:49.9;+62:12:25.9;2.351745;1.89e-13;B0154+61;J0157+6212;*;*;*;
86;01:58:29;+21:08;0.505300;*;J0158+21;J0158+21;*;*;*;
87;02:01:41.3;+70:05:18.1;1.349184;5.51e-15;J0201+7005;J0201+7005;RRAT;*;*;
88;02:05:37.9;+64:49:41.3;0.065716;1.94e-13;J0205+6449;J0205+6449;HE;*;*;
89;02:06:01.2;-40:28:04.3;0.630550;1.20e-15;B0203-40;J0206-4028;*;*;*;
90;02:11:59.0;-81:59:36.2;1.077333;2.90e-16;J0211-8159;J0211-8159;*;*;*;
91;02:12:52.2;+52:22:45;0.376386;6.60e-15;J0212+5222;J0212+5222;*;*;*;
92;02:14:55.2;+52:22:40.9;0.024575;2.99e-19;J0214+5222;J0214+5222;*;BT;512.0397;
93;02:15:56.6;+62:18:33.3;0.548880;6.62e-16;J0215+6218;J0215+6218;*;*;*;
94;02:18:06.3;+42:32:17.3;0.002323;7.74e-20;J0218+4232;J0218+4232;HE[khvb98,aaa+09f];ELL1;2.0288;
95;02:20:50;+36:22;1.029700;*;J0220+36;J0220+36;*;*;*;
96;02:29:03;+20:58;0.806900;*;J0229+20;J0229+20;*;*;*;
97;02:31:13.9;+70:26:33.8;1.466820;3.11e-15;B0226+70;J0231+7026;*;*;*;
98;02:41:46;+16:04;1.545400;*;J0241+16;J0241+16;*;*;*;
99;02:42:35;+62:56:50;0.592000;*;J0242+62;J0242+62;*;*;*;
100;02:43;+60:27;1.473000;*;J0243+6027;J0243+6027;*;*;*;
101;02:44:51;+14:27;2.128100;*;J0244+14;J0244+14;*;*;*;
102;02:48:18.6;+60:21:34.7;0.217094;5.51e-14;J0248+6021;J0248+6021;HE[tpc+11];*;*;
103;02:51:08;+26:05;0.002540;*;J0251+26;J0251+26;*;BT;0.2040;
104;02:55:56.2;-53:04:21.3;0.447708;3.06e-17;B0254-53;J0255-5304;*;*;*;
105;03:03:00;+22:48;1.207000;*;J0303+22;J0303+22;*;*;*;
106;03:04:33.1;+19:32:51.4;1.387584;1.30e-15;B0301+19;J0304+1932;*;*;*;
107;03:08;+74:00;0.003160;*;J0308+74;J0308+74;HE;*;*;
108;03:23:26.6;+39:44:52.9;3.032072;6.36e-16;B0320+39;J0323+3944;*;*;*;
109;03:24:55.4;+52:39:31.3;0.336620;3.81e-16;J0324+5239;J0324+5239;*;*;*;
110;03:26;+67:49;1.364741;*;J0325+67;J0325+67;*;*;*;
111;03:29:08.5;+16:54:02;0.893320;2.15e-16;J0329+1654;J0329+1654;*;*;*;
112;03:32:59.3;+54:34:43.5;0.714520;2.05e-15;B0329+54;J0332+5434;*;*;*;
113;03:32:45;+79:10;2.056210;*;J0332+79;J0332+79;RRAT;*;*;
114;03:35:16.6;+45:55:53.4;0.269201;7.35e-18;B0331+45;J0335+4555;*;*;*;
115;03:37:43.8;+17:15:14.8;0.002733;1.77e-20;J0337+1715;J0337+1715;*;ELL1;1.6294;
116;03:39;+66:44;1.762000;*;J0338+66;J0338+66;*;*;*;
117;03:40:23.2;+41:30:45.2;0.003299;7.05e-21;J0340+4130;J0340+4130;HE;*;*;
118;03:41;+57:11;1.888000;*;J0341+5711;J0341+5711;*;*;*;
119;03:43:27.9;-30:00:27.5;2.597027;5.70e-17;J0343-3000;J0343-3000;*;*;*;
120;03:43:12.9;+53:12:53.4;1.934478;1.34e-14;B0339+53;J0343+5312;*;*;*;
121;03:48:43.6;+04:32:11.4;0.039123;2.41e-19;J0348+0432;J0348+0432;*;ELL1;0.1024;
122;03:57:52.5;+32:05:25;0.444104;1.30e-14;J0357+3205;J0357+3205;NRAD;*;*;
123;03:57:44.8;+52:36:57.7;0.197030;4.77e-16;B0353+52;J0357+5236;*;*;*;
124;03:58;+42:06;0.226478;*;J0358+42;J0358+42;*;*;*;
125;03:58:53.7;+54:13:13.7;0.156384;4.39e-15;B0355+54;J0358+5413;HE[to07];*;*;
126;03:58;+66:40;0.091507;*;J0358+66;J0358+66;*;*;*;
127;03:59:26.0;+54:14:55.7;0.079427;1.67e-14;J0359+5414;J0359+5414;NRAD;*;*;
128;04:01:51.6;-76:08:13.8;0.545253;1.54e-15;B0403-76;J0401-7608;*;*;*;
129;04:06:30.0;+61:38:41.0;0.594576;5.57e-15;B0402+61;J0406+6138;*;*;*;
130;04:07:54.9;+16:07:16.4;0.025702;7.90e-20;J0407+1607;J0407+1607;*;BT;669.0704;
131;04:08;+55;1.837000;*;J0408+551;J0408+551;*;*;*;
132;04:08;+55;0.754000;*;J0408+552;J0408+552;*;*;*;
133;04:10:39;-31:07:29;1.878500;*;J0410-31;J0410-31;RRAT;*;*;
134;04:13;+58;0.687000;*;J0413+58;J0413+58;*;*;*;
135;04:15:55.6;+69:54:09.8;0.390715;7.66e-17;B0410+69;J0415+6954;*;*;*;
136;04:17:43;+35:45;0.654400;*;J0417+35;J0417+35;*;*;*;
137;04:17;+61:08;0.440283;*;J0417+61;J0417+61;*;*;*;
138;04:18:04.2;-41:54:10.8;0.757119;9.74e-16;J0418-4154;J0418-4154;*;*;*;
139;04:18:33.8;+57:32:22.9;9.078388;4.10e-15;J0418+5732;J0418+5732;AXP,NRAD;*;*;
140;04:19;+44;1.241000;*;J0419+44;J0419+44;*;*;*;
141;04:20:01.9;-50:22:48.1;3.453004;2.76e-14;J0420-5022;J0420-5022;XINS,NRAD;*;*;
142;04:21:33.5;-03:45:06.6;2.161308;1.16e-15;J0421-0345;J0421-0345;*;*;*;
143;04:21:30;+32:40;0.900500;*;J0421+32;J0421+32;*;*;*;
144;04:26:06.8;+49:33:38.4;0.922475;3.93e-14;J0426+4933;J0426+4933;*;*;*;
145;04:35:51.8;+27:49:01.7;0.326279;8.17e-18;J0435+2749;J0435+2749;*;*;*;
146;04:37:15.8;-47:15:09.1;0.005757;5.73e-20;J0437-4715;J0437-4715;HE[bt93,aaa+09f];T2;5.7410;
147;04:47;-04:35;2.188190;*;J0447-04;J0447-04;RRAT;*;*;
148;04:48:41.5;-27:49:46.7;0.450448;1.48e-16;J0448-2749;J0448-2749;*;*;*;
149;04:49:05.6;-70:31:31.7;0.479164;3.37e-15;J0449-7031;J0449-7031;*;*;*;
150;04:50:08.7;-12:48:07.1;0.438014;1.03e-16;B0447-12;J0450-1248;*;*;*;
151;04:51:50;-67:18;0.245454;0.00e+00;J0451-67;J0451-67;*;*;*;
152;04:52:34.1;-17:59:23.3;0.548939;5.75e-15;B0450-18;J0452-1759;*;*;*;
153;04:53:45.4;+15:59:21.3;0.045782;1.86e-19;J0453+1559;J0453+1559;*;DDH;4.0725;
154;04:54:07.7;+55:43:41.4;0.340729;2.37e-15;B0450+55;J0454+5543;*;*;*;
